null,LaurentR,"ROLE_USER",pa$$word,Renault,Laurent,0123456789,LaurentR@sortir.com,true,106
null,BaptisteF,"ROLE_USER",pa$$word,Fournier,Baptiste,0123456789,BaptisteF@sortir.com,true,106
null,LoicM,"ROLE_USER",pa$$word,Marechal,Loic,0123456789,LoicM@sortir.com,true,106
null,TheoP,"ROLE_USER",pa$$word,Portier,Theo,0123456789,TheoP@sortir.com,true,106
null,JadeB,"ROLE_USER",pa$$word,Blake,Jade,0123456789,JadeB@sortir.com,true,106
null,NoemieW,"ROLE_USER",pa$$word,Winchester,Noemie,0123456789,NoemieW@sortir.com,true,106
null,ManonV,"ROLE_USER",pa$$word,Viquet,Manon,0123456789,ManonV@sortir.com,true,106
null,EliseM,"ROLE_USER",pa$$word,Martin,Elise,0123456789,EliseM@sortir.com,true,106
null,ThibaultD,"ROLE_USER",pa$$word,Durand,Thibault,0123456789,ThibaultD@sortir.com,true,106
null,JamesG,"ROLE_USER",pa$$word,Gratin,James,0123456789,JamesG@sortir.com,true,106
